"seller","day_of_week","income"
Dean Straight,Thursday ,27381.0
Stearns MacFeather,Wednesday,13397.0
Dirk Stringer,Monday   ,15909.0
Innes del Castillo,Saturday ,19584.0
Abraham Bennet,Wednesday,49889.0
Anne Ringer,Friday   ,12285.0
Sheryl Hunter,Monday   ,20142.0
Burt Gringlesby,Wednesday,24305.0
Reginald Blotchet-Halls,Sunday   ,21689.0
Charlene Locksley,Tuesday  ,31010.0
Johnson White,Thursday ,34262.0
Morningstar Greene,Tuesday  ,15687.0
Marjorie Green,Monday   ,34238.0
Charlene Locksley,Sunday   ,23769.0
Innes del Castillo,Sunday   ,22170.0
Burt Gringlesby,Monday   ,19648.0
Innes del Castillo,Thursday ,21990.0
Livia Karsen,Wednesday,15841.0
Dirk Stringer,Wednesday,14706.0
Charlene Locksley,Tuesday  ,24231.0
Cheryl Carson,Sunday   ,13019.0
Michael O'Leary,Friday   ,27979.0
Michel DeFrance,Wednesday,25166.0
Stearns MacFeather,Tuesday  ,15289.0
Dirk Stringer,Wednesday,20355.0
Heather McBadden,Tuesday  ,14819.0
Michael O'Leary,Sunday   ,23556.0
Ann Dull,Saturday ,36191.0
Stearns MacFeather,Tuesday  ,17303.0
Livia Karsen,Tuesday  ,5824.0
Sheryl Hunter,Wednesday,20573.0
Cheryl Carson,Saturday ,9997.0
Stearns MacFeather,Tuesday  ,17956.0
Innes del Castillo,Saturday ,22949.0
Livia Karsen,Wednesday,8787.0
Morningstar Greene,Sunday   ,19751.0
Cheryl Carson,Friday   ,17896.0
Albert Ringer,Thursday ,36218.0
Anne Ringer,Sunday   ,8855.0
Michel DeFrance,Saturday ,22320.0
Stearns MacFeather,Thursday ,12021.0
Innes del Castillo,Monday   ,20547.0
Reginald Blotchet-Halls,Saturday ,17391.0
Morningstar Greene,Thursday ,20490.0
Dean Straight,Friday   ,21457.0
Innes del Castillo,Wednesday,17545.0
Innes del Castillo,Friday   ,24380.0
Michel DeFrance,Friday   ,28766.0
Albert Ringer,Sunday   ,30067.0
Albert Ringer,Sunday   ,36194.0
Meander Smith,Monday   ,7400.0
Cheryl Carson,Wednesday,14075.0
Morningstar Greene,Sunday   ,15410.0
Morningstar Greene,Sunday   ,15542.0
Marjorie Green,Monday   ,32505.0
Abraham Bennet,Wednesday,55671.0
Dean Straight,Tuesday  ,26789.0
Ann Dull,Monday   ,32545.0
Albert Ringer,Friday   ,37661.0
Innes del Castillo,Thursday ,24142.0
Michael O'Leary,Wednesday,19681.0
Albert Ringer,Thursday ,25433.0
Abraham Bennet,Thursday ,56124.0
Sylvia Panteley,Saturday ,20747.0
Michael O'Leary,Wednesday,22436.0
Marjorie Green,Monday   ,37799.0
Burt Gringlesby,Thursday ,21215.0
Dean Straight,Thursday ,18450.0
Michael O'Leary,Thursday ,20911.0
Innes del Castillo,Wednesday,22228.0
Dean Straight,Sunday   ,22106.0
Stearns MacFeather,Sunday   ,12836.0
Meander Smith,Friday   ,11707.0
Livia Karsen,Sunday   ,10390.0
Abraham Bennet,Friday   ,53588.0
Cheryl Carson,Wednesday,13255.0
Anne Ringer,Tuesday  ,14606.0
Abraham Bennet,Monday   ,45108.0
Sheryl Hunter,Thursday ,18318.0
Michael O'Leary,Saturday ,25234.0
Charlene Locksley,Sunday   ,25554.0
Dean Straight,Monday   ,22123.0
Ann Dull,Thursday ,32125.0
Dean Straight,Saturday ,26064.0
Dean Straight,Monday   ,22348.0
Albert Ringer,Thursday ,29459.0
Charlene Locksley,Sunday   ,19120.0
Heather McBadden,Tuesday  ,16144.0
Reginald Blotchet-Halls,Tuesday  ,16423.0
Michel DeFrance,Thursday ,28126.0
Morningstar Greene,Monday   ,14819.0
Michael O'Leary,Sunday   ,14758.0
Livia Karsen,Thursday ,10490.0
Meander Smith,Monday   ,9626.0
Albert Ringer,Friday   ,36994.0
Burt Gringlesby,Saturday ,16507.0
Johnson White,Wednesday,23397.0
Dean Straight,Monday   ,19482.0
Albert Ringer,Saturday ,32504.0
Johnson White,Sunday   ,26180.0
Abraham Bennet,Saturday ,53854.0
Abraham Bennet,Wednesday,44862.0
Marjorie Green,Friday   ,38291.0
Michael O'Leary,Saturday ,19892.0
Abraham Bennet,Monday   ,52696.0
Reginald Blotchet-Halls,Wednesday,24451.0
Abraham Bennet,Sunday   ,52348.0
Burt Gringlesby,Sunday   ,26058.0
Sheryl Hunter,Saturday ,18522.0
Anne Ringer,Sunday   ,12211.0
Livia Karsen,Saturday ,17784.0
Michael O'Leary,Thursday ,28958.0
Morningstar Greene,Saturday ,18604.0
Sheryl Hunter,Sunday   ,16563.0
Dirk Stringer,Friday   ,12327.0
Morningstar Greene,Saturday ,15612.0
Sheryl Hunter,Monday   ,13848.0
Sylvia Panteley,Friday   ,29326.0
Dean Straight,Thursday ,19743.0
Charlene Locksley,Saturday ,33680.0
Sylvia Panteley,Tuesday  ,22887.0
Reginald Blotchet-Halls,Wednesday,18229.0
Albert Ringer,Wednesday,32533.0
Meander Smith,Thursday ,13167.0
Reginald Blotchet-Halls,Sunday   ,23997.0
Burt Gringlesby,Monday   ,21583.0
